,kernel size,time rate,detection rate
0,3,65.0315523147583,0.04952947003467063
1,5,67.66546320915222,0.1485884101040119
2,7,70.77705073356628,0.24764735017335315
3,9,76.14543795585632,39.92075284794453
4,11,84.71744966506958,45.66617137196632
5,13,87.81904530525208,38.286280336800395
6,15,99.19261479377747,30.955918771669143
7,17,110.19392895698547,26.300148588410103
8,19,124.81590104103088,10.698365527488855
9,21,142.86645984649658,0.09905894006934125
