,pixel count,update rate,iterations,kernel size,time rate,detection rate
343,14,5,2,7,48.72393608093262,55.72065378900446
344,14,5,2,9,52.480109214782715,50.56958890539871
345,14,5,2,11,71.61437153816223,45.41852402179297
346,14,5,2,13,75.34392929077148,37.79098563645369
347,14,5,2,15,76.58598732948303,30.65874195146112
348,14,5,2,17,79.21121621131897,26.300148588410103
349,14,5,2,19,84.40373253822327,10.698365527488855
350,14,10,1,7,40.868064880371094,7.627538385339277
351,14,10,1,9,41.6074857711792,22.88261515601783
352,14,10,1,11,50.73260140419006,42.00099058940069
353,14,10,1,13,67.80393385887146,53.888063397721645
354,14,10,1,15,68.84256553649902,54.928182268449724
355,14,10,1,17,69.7311053276062,51.21347201584943
356,14,10,1,19,71.90969514846802,50.27241208519069
357,14,10,2,7,41.06211590766907,53.04606240713225
358,14,10,2,9,44.03952956199646,50.86676572560673
359,14,10,2,11,64.86807036399841,46.161466072313026
360,14,10,2,13,68.55960941314697,38.63298662704309
361,14,10,2,15,69.47847390174866,31.352154531946507
362,14,10,2,17,71.76607513427734,26.498266468548785
363,14,10,2,19,76.500727891922,10.698365527488855
364,14,15,1,7,38.088982582092285,6.33977216443784
365,14,15,1,9,38.838549852371216,19.61367013372957
366,14,15,1,11,46.78304576873779,36.20604259534423
367,14,15,1,13,64.36034536361694,52.30312035661218
368,14,15,1,15,65.858314037323,51.21347201584943
369,14,15,1,17,66.32997822761536,52.9470034670629
370,14,15,1,19,68.87690281867981,51.312530955918774
371,14,15,2,7,38.184161901474,51.6097077761268
372,14,15,2,9,40.637126207351685,52.550767706785535
373,14,15,2,11,62.487292528152466,45.91381872213967
374,14,15,2,13,65.9301688671112,38.335809806835066
375,14,15,2,15,66.88636469841003,31.203566121842496
376,14,15,2,17,68.99456858634949,26.54779593858346
377,14,15,2,19,73.79518675804138,10.698365527488855
378,14,20,1,7,36.81307911872864,6.438831104507182
379,14,20,1,9,37.26078677177429,20.307082714214957
380,14,20,1,11,45.15990161895752,33.53145121347202
381,14,20,1,13,63.36570143699646,53.04606240713225
382,14,20,1,15,64.39661026000977,55.473006438831106
383,14,20,1,17,65.37562251091003,53.14512134720159
384,14,20,1,19,67.62353563308716,51.21347201584943
385,14,20,2,7,36.81867051124573,51.461119366022785
386,14,20,2,9,38.436194896698,52.69935611688955
387,14,20,2,11,60.48890471458435,45.81475978207033
388,14,20,2,13,65.28448462486267,38.187221396731054
389,14,20,2,15,65.28072428703308,31.154036651807825
390,14,20,2,17,68.20871353149414,26.54779593858346
391,14,20,2,19,72.06085872650146,10.698365527488855
392,14,25,1,7,35.91408324241638,5.943536404160476
393,14,25,1,9,36.449262619018555,20.950965824665676
394,14,25,1,11,40.37350034713745,33.333333333333336
395,14,25,1,13,62.51823019981384,50.56958890539871
396,14,25,1,15,64.65391397476196,53.24418028727093
397,14,25,1,17,64.81923174858093,52.05547300643883
398,14,25,1,19,66.93431782722473,50.61911837543338
