,pixel count,update rate,iterations,kernel size,time rate,detection rate
60,5,25,1,15,62.14241361618042,53.24418028727093
61,5,25,1,17,64.21965646743774,52.05547300643883
62,5,25,1,19,66.80430197715759,50.61911837543338
63,5,25,2,7,36.163103103637695,49.33135215453195
64,5,25,2,9,40.56647253036499,51.75829618623081
65,5,25,2,11,59.784706354141235,45.76523031203566
66,5,25,2,13,61.949671268463135,38.236750866765725
67,5,25,2,15,63.96467590332031,31.054977711738484
68,5,25,2,17,67.06595706939697,26.399207528479444
69,5,25,2,19,73.8235547542572,10.698365527488855
70,5,30,1,7,35.127981662750244,7.033184744923229
71,5,30,1,9,36.388306856155396,19.316493313521544
72,5,30,1,11,47.115601539611816,32.788509162951954
73,5,30,1,13,60.09130835533142,49.77711738484398
74,5,30,1,15,61.3011040687561,53.789004457652304
75,5,30,1,17,63.66016244888306,52.15453194650817
76,5,30,1,19,66.25703477859497,50.61911837543338
77,5,30,2,7,35.41155958175659,49.0837048043586
78,5,30,2,9,39.86720943450928,52.05547300643883
79,5,30,2,11,58.93851041793823,45.71570084200099
80,5,30,2,13,61.08186674118042,38.335809806835066
81,5,30,2,15,63.45122528076172,31.054977711738484
82,5,30,2,17,66.01925015449524,26.448736998514114
83,5,30,2,19,73.02911853790283,10.698365527488855
84,7,5,1,7,49.465020179748535,16.592372461614662
85,7,5,1,9,51.1130952835083,31.996037642397226
86,7,5,1,11,61.93004608154297,47.25111441307578
87,7,5,1,13,73.98931407928467,56.364536899455175
88,7,5,1,15,74.812509059906,55.225359088657754
89,7,5,1,17,76.74609899520874,50.9162951956414
90,7,5,1,19,80.21150279045105,50.123823675086676
91,7,5,2,7,49.60241937637329,55.72065378900446
92,7,5,2,9,54.85972571372986,50.56958890539871
93,7,5,2,11,71.99177861213684,45.41852402179297
94,7,5,2,13,74.00764608383179,37.79098563645369
95,7,5,2,15,76.77240371704102,30.65874195146112
96,7,5,2,17,79.41536140441895,26.300148588410103
97,7,5,2,19,87.42472338676453,10.698365527488855
98,7,10,1,7,41.35118508338928,7.627538385339277
99,7,10,1,9,41.571160554885864,22.88261515601783
100,7,10,1,11,51.65407466888428,42.00099058940069
101,7,10,1,13,65.77227783203125,53.888063397721645
102,7,10,1,15,67.74935603141785,54.928182268449724
103,7,10,1,17,68.74912738800049,51.21347201584943
104,7,10,1,19,71.9367151260376,50.27241208519069
105,7,10,2,7,41.3368878364563,53.04606240713225
106,7,10,2,9,44.12797498703003,50.86676572560673
107,7,10,2,11,64.39913702011108,46.161466072313026
108,7,10,2,13,67.49621272087097,38.63298662704309
109,7,10,2,15,69.215980052948,31.352154531946507
110,7,10,2,17,71.85557699203491,26.498266468548785
111,7,10,2,19,77.06037139892578,10.698365527488855
112,7,15,1,7,38.14050006866455,6.33977216443784
113,7,15,1,9,38.909555435180664,19.61367013372957
114,7,15,1,11,47.93800139427185,36.20604259534423
115,7,15,1,13,63.02213644981384,52.30312035661218
116,7,15,1,15,65.00568771362305,51.21347201584943
117,7,15,1,17,66.35042357444763,52.9470034670629
118,7,15,1,19,69.2045361995697,51.312530955918774
119,7,15,2,7,38.05412006378174,51.6097077761268
120,7,15,2,9,41.08899807929993,52.550767706785535
121,7,15,2,11,57.17510628700256,45.91381872213967
122,7,15,2,13,65.12500405311584,38.335809806835066
123,7,15,2,15,66.04478287696838,31.203566121842496
124,7,15,2,17,69.13119220733643,26.54779593858346
125,7,15,2,19,71.24848580360413,10.698365527488855
126,7,20,1,7,36.459174394607544,6.438831104507182
127,7,20,1,9,37.42119121551514,20.307082714214957
128,7,20,1,11,47.2224326133728,33.53145121347202
129,7,20,1,13,61.33957266807556,53.04606240713225
130,7,20,1,15,63.82490634918213,55.473006438831106
131,7,20,1,17,66.13494205474854,53.14512134720159
132,7,20,1,19,67.65270352363586,51.21347201584943
133,7,20,2,7,37.14119338989258,51.461119366022785
134,7,20,2,9,40.73055911064148,52.69935611688955
135,7,20,2,11,60.637452125549316,45.81475978207033
136,7,20,2,13,63.479645013809204,38.187221396731054
137,7,20,2,15,64.70876860618591,31.154036651807825
138,7,20,2,17,67.58796572685242,26.54779593858346
139,7,20,2,19,74.73425626754761,10.698365527488855
140,7,25,1,7,35.867188453674316,5.943536404160476
141,7,25,1,9,36.72306036949158,20.950965824665676
142,7,25,1,11,42.1615149974823,33.333333333333336
143,7,25,1,13,60.920114040374756,50.56958890539871
144,7,25,1,15,62.911214113235474,53.24418028727093
